OSM ID,Functionality,Original Global Efficiency,New Global Efficiency,Change in Efficiency,Normalized Efficiency Change,Relative Efficiency Change,Absolute Relative Efficiency Change,Norm_Func,Norm_Eff,Criticality Score,Buffer Distance (km)
23321226,64.51,0.008087882,0.007999788,-8.81E-05,8.81e-05,-0.010892839,0.010892839435590183,0.6486082570521203,0.025035524728175957,0.33682189089014813,5
231690292,64.15,0.010486791,0.010424658,-6.21E-05,6.21e-05,-0.005921735,0.005921735,0.6553334578740893,0.017622660100769343,0.3364780589874293,5
94130752,67.53,0.014395984,0.014116653,-0.000279331,0.000279331,-0.019403398,0.019403397503081416,0.5921912946011583,0.079557429,0.33587436188704395,5
237266653,64.14,0.012483521,0.012437514,-4.60E-05,4.6e-05,-0.003684858,0.003684858,0.655520269,0.013032386235336783,0.33427632762168485,5
23750997,63.8,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.6618718475621148,0.003395662,0.3326337548909115,5
27834821,64.55,0.006292158,0.006241313,-5.08E-05,5.08e-05,-0.008073542,0.008073542,0.6478610125163461,0.014400915089627235,0.3311309638029867,5
911374391,69.47,0.020929813,0.020603318,-0.000326495,0.000326495,-0.015599518,0.015599518,0.5559499346161032,0.093004366,0.3244771501115742,5
36921269,64.99,0.01437945,0.01436112,-1.83E-05,1.83e-05,-0.00127265,0.00127265,0.6396413226228285,0.005134834,0.3223880784640987,5
445244385,73.48,0.006425109,0.005869019,-0.000556089,0.000556089,-0.086549349,0.086549349,0.4810386699047263,0.15846395180953726,0.3197513108571318,5
59319062,67.44,0.008372388,0.008269653,-0.000102734,0.000102734,-0.012270573,0.012270573222359022,0.5938725948066506,0.029207827,0.31154021093967227,5
1053979714,66.28,0.002704158,0.002686797,-1.74E-05,1.74e-05,-0.006434535,0.006434535,0.6155426863441061,0.004878235,0.3102104607446478,5
26822328,66.18,0.004069098,0.00406853,-5.68E-07,5.68e-07,-0.000139589,0.000139589,0.6174107976835419,7.926062947765535e-05,0.30874502915650975,5
108226850,66.78,0.002277495,0.002277018,-4.78E-07,4.78e-07,-0.00020988,0.00020988,0.60620213,5.360071345970938e-05,0.30312786518019336,5
