city ,city_latitude,city_longitude,bridge_start_lat,bridge_start_lon,bridge_end_lat,bridge_end_lon,node,city_closeness_before_removal,centrality_after_removal
Rocchetta Sant'Antonio,41.103524,15.461754,41.151951,15.525397,41.151951,15.525397,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.154062,15.531096,41.154062,15.531096,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.162471,15.592194,41.162471,15.592194,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.15638,15.565206,41.15638,15.565206,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.113222,15.582192,41.113183,15.58226,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.155008,15.529073,41.154945,15.52908,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.188757,15.533697,41.188603,15.533642,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.163812,15.525377,41.163795,15.525329,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.187286,15.533304,41.187094,15.53327,"41.103359, 15.461733",2.02E-06,2.02E-06
San Marco la Catola,41.524829,15.005938,41.498314,15.033444,41.498232,15.033685,"41.5248768,15.0066814",0.000496,0.000479598
San Marco la Catola,41.524829,15.005938,41.504587,15.00104,41.503391,15.005049,"41.5248768,15.0066814",0.000496,0.000479598
San Marco la Catola,41.524829,15.005938,41.51392,14.980993,41.510478,14.985313,"41.5248768,15.0066814",0.000496,0.000479584
San Marco la Catola,41.524829,15.005938,41.524226,14.951555,41.524367,14.951779,"41.5248768,15.0066814",0.000496,0.000479569
San Marco la Catola,41.524829,15.005938,41.489791,15.111826,41.489723,15.113078,"41.5248768,15.0066814",0.000496,0.000479569
San Marco la Catola,41.524829,15.005938,41.477603,15.053563,41.47618,15.053555,"41.5248768,15.0066814",0.000496,0.000479555
Sant'Agata di Puglia,41.151824,15.380251,41.130651,15.432697,41.132687,15.435097," 41.1518109,15.3808436",2.02E-06,2.02E-06
Sant'Agata di Puglia,41.151824,15.380251,41.149417,15.502676,41.149417,15.502676," 41.1518109,15.3808436",2.02E-06,2.02E-06
Sant'Agata di Puglia,41.151824,15.380251,41.148594,15.518311,41.148594,15.518311," 41.1518109,15.3808436",2.02E-06,2.02E-06
Volturara Appula,41.496029,15.052239,41.459216,15.091958,41.463392,15.093473,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.498314,15.033444,41.498232,15.033685,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.504587,15.00104,41.503391,15.005049,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.46679,15.094358,41.467331,15.094485,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.488131,15.107177,41.488831,15.108816,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.51392,14.980993,41.510478,14.985313,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489791,15.111826,41.489723,15.113078,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489215,15.119419,41.489653,15.12192,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.45557,15.071583,41.456179,15.074445,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.486573,15.103845,41.487056,15.104691,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.493045,15.135518,41.498058,15.142045,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.477603,15.053563,41.47618,15.053555,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.489015,15.04841,41.488958,15.048514,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturara Appula,41.496029,15.052239,41.488004,15.049355,41.487923,15.049428,"41.4956473,15.0519007",3.63E-06,3.63E-06
Volturino,41.477229,15.124241,41.459216,15.091958,41.463392,15.093473,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.498314,15.033444,41.498232,15.033685,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.46679,15.094358,41.467331,15.094485,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.488131,15.107177,41.488831,15.108816,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.489791,15.111826,41.489723,15.113078,"41.4776498,15.1240411",2.02E-06,2.02E-06
Volturino,41.477229,15.124241,41.489215,15.119419,41.489653,15.12192,"41.4776498,15.1240411",2.02E-06,2.02E-06
